"gender","age","race","state","agency_responsible","congressional_district_113","latitude","longitude","congressperson_party","pop_total_census_tract","pop_white_census_tract","pop_black_census_tract","pop_asian_census_tract","pop_pacific_islander_census_tract","pop_native_american_census_tract"
"Male",35,"Black","TX","Houston Police Department","TX2",29.820191,-95.474264,"Republican",2365,"58%","42%","0%","0%","0%"
"Male",36,"Black","GA","Savannah Police Department","GA1",32.062327,-81.080356,"Republican",877,"4%","94%","0%","0%","0%"
"Male",36,"Black","MS","Madison County Sheriff's Office","MS2",32.608182,-90.067601,"Democrat",780,"50%","50%","0%","0%","0%"
"Male",21,"Black","MD","Montgomery County Police Department","MD6",39.16379,-77.174179,"Democrat",4251,"35%","41%","14%","0%","0%"
"Male",64,"White","NM","""Roswell Police Department, Chaves County Sheriff's Office""","NM2",33.363917,-104.534359,"Republican",1024,"100%","0%","0%","0%","0%"
"Female",51,"White","ID","Nampa Police Department","ID1",43.533347,-116.584459,"Republican",2944,"90%","0%","1%","0%","5%"
"Male",48,"White","CA","Los Angeles Police Department","CA28",34.101308,-118.338279,"Democrat",562,"65%","21%","6%","0%","0%"
"Male",32,"Hispanic","TX","Houston Police Department","TX29",29.669212,-95.262643,"Democrat",1785,"11%","89%","0%","0%","0%"
"Male",21,"Hispanic","TX","Texas Department of Public Safety","TX16",31.687025,-106.265491,"Democrat",2395,"0%","100%","0%","0%","0%"
"Male",32,"Black","MD","U.S. Marshals Service","MD7",39.307778,-76.747909,"Democrat",1129,"0%","95%","5%","0%","0%"
"Male",24,"White","MD","""Cecil County Sheriff's Office, Maryland State Troopers""","MD1",39.628883,-75.955348,"Republican",3723,"89%","7%","1%","0%","0%"
"Male",36,"Native American","NM","San Juan County Sheriff's Office","NM3",36.760025,-108.498333,"Democrat",792,"28%","0%","0%","0%","68%"
"Male",34,"Black","IL","""Chicago Police Department, U.S. Marshals""","IL7",41.879127,-87.742783,"Democrat",891,"3%","97%","0%","0%","0%"
"Male",23,"Hispanic","OR","Salem Police Department ","OR5",44.95562,-122.98746,"Democrat",3381,"60%","9%","0%","27%","2%"
"Male",34,"White","OR","Medford Police Department","OR2",42.372264,-122.85475,"Republican",4218,"87%","1%","3%","0%","0%"
"Male",33,"White","KY","Danville Police Department","KY2",37.623721,-84.795083,"Republican",1152,"94%","5%","0%","0%","0%"
"Male",52,"White","IL","Carterville Police Department","IL12",37.755606,-89.077964,"Republican",1237,"100%","0%","0%","0%","0%"
"Male",32,"White","CA","""Paso Robles Police Department, San Luis Obispo Police Department""","CA24",35.603767,-120.65995,"Democrat",4005,"88%","0%","5%","0%","0%"
"Male",32,"Hispanic","TX","Houston Police Department","TX29",29.685072,-95.292994,"Democrat",2678,"94%","6%","0%","0%","0%"
"Male",28,"Hispanic","TX","San Antonio Police Department","TX20",29.405655,-98.526088,"Democrat",1385,"100%","0%","0%","0%","0%"
"Male",32,"Hispanic","MN","Olivia Police Department","MN7",44.776808,-94.988271,"Republican",613,"100%","0%","0%","0%","0%"
"Male",30,"Black","FL","Tampa Police Department","FL14",27.979484,-82.401206,"Democrat",1561,"7%","89%","3%","0%","0%"
"Male",61,"Black","NJ","Newton Police Department","NJ5",41.042641,-74.753476,"Democrat",1364,"79%","12%","7%","0%","0%"
"Male",36,"White","OH","Portage County Sheriff's Office","OH13",41.190247,-81.273582,"Democrat",2252,"96%","4%","0%","0%","0%"
"Male",37,"White","NC","Wilkes County Sheriff's Office","NC5",36.358984,-81.010741,"Republican",902,"87%","4%","1%","0%","0%"
"Male",45,"Black","SC","""Spartanburg Police Department, Spartanburg County Sheriff's Office""","SC4",34.962905,-81.950258,"Republican",828,"12%","69%","8%","0%","0%"
"Male",23,"Hispanic","GA","Douglas County Sheriff's Office","GA13",33.748734,-84.703889,"Democrat",2571,"39%","44%","16%","0%","0%"
"Female",54,"White","TN","Kingsport Police Department","TN1",36.559082,-82.569639,"Republican",876,"100%","0%","0%","0%","0%"
"Male",29,"Black","GA","Atlanta Police Department ","GA5",33.774068,-84.385492,"Democrat",1269,"38%","43%","14%","0%","1%"
"Male",33,"White","KY","U.S. Marshals Service","KY4",38.944624,-84.625506,"Republican",2160,"100%","0%","0%","0%","0%"
"Male",51,"White","SC","Calhoun County Sheriff's Office","SC6",33.62548,-80.88804,"Democrat",1715,"30%","70%","0%","0%","0%"
"Male",58,"White","NE","Morrill County Sheriff's Office","NE3",41.751563,-103.321855,"Republican",666,"100%","0%","0%","0%","0%"
"Male",32,"White","TX","Corpus Christi Police Department","TX27",27.678885,-97.295319,"Republican",2529,"78%","16%","6%","0%","0%"
"Male",59,"Black","CA","Azusa Police Department","CA32",34.14046,-117.917629,"Democrat",3895,"58%","3%","31%","0%","0%"
"Male",35,"Asian","CA","""Siskiyou County Sheriff's Office, California Department of Fish and Wildlife, Etna Police Department""","CA1",41.468208,-122.353483,"Republican",3266,"86%","2%","8%","0%","1%"
"Male",26,"Hispanic","CA","Los Angeles Police Department","CA29",34.25005,-118.42932,"Democrat",2028,"15%","0%","69%","0%","0%"
"Male",24,"Black","TX","Corpus Christi Police Department","TX27",27.710973,-97.410131,"Republican",896,"100%","0%","0%","0%","0%"
"Male",25,"Hispanic","NM","Chaves County Sheriff's Office","NM2",33.388581,-104.561759,"Republican",1712,"85%","5%","0%","0%","10%"
"Male",39,"White","TX","Young County Sheriff's Office","TX19",33.217511,-98.568664,"Republican",2285,"96%","1%","2%","0%","1%"
"Female",29,"White","KS","Plainville Police Department","KS1",39.229206,-99.298163,"Republican",1036,"100%","0%","0%","0%","0%"
"Male",61,"Hispanic","TX","Abilene Police Department","TX19",32.464344,-99.740274,"Republican",1454,"97%","4%","0%","0%","0%"
"Male",34,"White","WA","Pierce County Sheriff's Office","WA10",47.237872,-122.343708,"Democrat",2215,"55%","8%","15%","12%","1%"
"Male",54,"White","TN","Bradley County Sheriff's Office","TN4",35.132662,-84.969876,"Republican",2045,"99%","0%","0%","0%","0%"
"Male",24,"White","WY","Wyoming Highway Patrol","WY0",42.769298,-108.783927,"Republican",1615,"96%","0%","0%","0%","3%"
"Male",22,"Black","TX","College Station Police Department","TX17",30.602079,-96.309607,"Republican",2620,"70%","1%","25%","0%","0%"
"Male",23,"White","AK","Alaska State Troopers","AK0",64.814433,-147.878177,"Republican",632,"75%","2%","0%","2%","3%"
"Male",48,"White","NC","Pitt County Sheriff's Office","NC1",35.578911,-77.142651,"Democrat",3862,"33%","65%","0%","0%","0%"
"Male",40,"White","OR","Portland Police Bureau","OR3",45.529904,-122.660662,"Democrat",2025,"80%","6%","6%","0%","1%"
"Male",52,"White","GA","Walton County Sheriff's Office","GA10",33.849463,-83.749117,"Republican",5056,"92%","4%","1%","0%","0%"
"Male",29,"White","GA","""Barrow County Sheriff's Office, Auburn Police Department""","GA10",33.996861,-83.832893,"Republican",1849,"79%","13%","3%","0%","0%"
"Male",40,"Hispanic","GA","Forsyth County Sheriff's Office","GA9",34.31299,-84.106273,"Republican",3452,"88%","1%","8%","0%","1%"
"Male",54,"White","NC","U.S. Marshals Service","NC7",34.300538,-78.72337,"Republican",1739,"81%","9%","1%","0%","7%"
"Male",39,"White","MS","Alcorn County Sheriff's Office","MS1",34.934207,-88.714604,"Republican",1380,"100%","0%","0%","0%","0%"
"Male",40,"Black","SC","Greenville County Sheriff's Office","SC3",34.694721,-82.144149,"Republican",3987,"68%","29%","0%","0%","0%"
"Male",29,"Hispanic","NM","Santa Fe County Sheriff's Office","NM3",35.68564,-105.93758,"Democrat",279,"96%","0%","0%","0%","3%"
"Male",27,"White","GA","Newton County Sheriff's Office","GA10",33.478568,-83.914191,"Republican",5336,"67%","28%","0%","0%","0%"
