grade,age,gender,live,times moved,now living,time work,time no adult,time friend,time school act,time noschool act,time reading,time church,time HW,time excersize,time fruit,30 smoke,30 5drinks,30dr driving,30 cig,30cigars,30drink,30marijuana,30glue,30meth,30coke,30amph,30prescription,30counter,30chew,30steroid,30barbituates,pride,truth,values drug,responsibility,friends,fix problems,decision,excite,hard work,Pop cig,Pop drink,Pop marijuana,Pop otherdrug,safe,best school,talk adult,grades,home rules,home happy,home al drug,home close,home talk,home support,home know,home chores,home wrong,home praise,Wpdrink,N safe,
6th,11,Female,"In the country, but not on a farm",None,with a parent/s,0 hours,0 hours,3-5 hours,3-5 hours,-1,3-5 hours,0 hours,1-2 hours,4,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Agree,Average,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Often,Always,Sometimes,Often,Very wrong,Agree,
6th,11,Female,On a farm,None,with a parent/s,1-2 hours,1-2 hours,6-10 hours,1-2 hours,6-10 hours,11 or more hours,3-5 hours,3-5 hours,7,5 or more times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Less popular,Less popular,Less popular,Less popular,Strongly agree,Strongly agree,Agree,Average,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,Very wrong,Strongly agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",Once,with a parent/s,0 hours,1-2 hours,0 hours,0 hours,0 hours,0 hours,0 hours,0 hours,7,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,3-5 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Less popular,Less popular,Less popular,Less popular,Agree,Agree,Agree,Average,Agree,Agree,Disagree,Agree,Agree,Agree,Often,Sometimes,Often,Always,.,.,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,1-2 hours,0 hours,0 hours,-1,1-2 hours,1-2 hours,3-5 hours,1-2 hours,1,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Above average,Agree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Sometimes,Sometimes,Often,Sometimes,Very wrong,Agree,
6th,11,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,1-2 hours,3-5 hours,3-5 hours,1-2 hours,-1,1-2 hours,1-2 hours,7,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,.,.,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Average,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Always,Often,Sometimes,Sometimes,.,.,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",Once,with a parent/s,0 hours,1-2 hours,0 hours,1-2 hours,0 hours,1-2 hours,0 hours,1-2 hours,1,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Strongly agree,Strongly agree,Above average,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Often,Sometimes,Sometimes,Sometimes,Very wrong,Strongly agree,
6th,11,Female,"In a large city over 30,000 population",None,with a parent/s,0 hours,1-2 hours,1-2 hours,3-5 hours,3-5 hours,0 hours,0 hours,1-2 hours,7,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,-1,-1,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Above average,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Often,Always,Often,Often,Very wrong,Agree,
6th,11,Female,On a farm,Four times or more,with a parent/s,1-2 hours,0 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,6,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Excellent,Agree,Agree,Disagree,Agree,Agree,Agree,Always,Always,Always,Always,Very wrong,Agree,
6th,11,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,3-5 hours,1-2 hours,1-2 hours,0 hours,3-5 hours,0 hours,1-2 hours,7,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Agree,Always,Always,Always,Often,Very wrong,Strongly agree,
6th,11,Female,"In a small city or town, less than 5,000 population",Three times,with a parent/s,0 hours,0 hours,1-2 hours,0 hours,1-2 hours,3-5 hours,3-5 hours,1-2 hours,2,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,.,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Agree,Average,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Always,Always,Always,Sometimes,Very wrong,Strongly agree,
6th,11,Female,On a farm,Twice,with a parent/s,6-10 hours,1-2 hours,3-5 hours,1-2 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,7,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Excellent,Agree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Always,Sometimes,Always,Very wrong,Agree,
6th,11,Female,"In a large city over 30,000 population",Once,with a parent/s,-1,-1,-1,-1,-1,-1,-1,-1,4,I did not eat fruit and/or vegetables during the past 7 days,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,.,Agree,Agree,Agree,Agree,Agree,Agree,Always,Always,Always,Always,Very wrong,Agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,11 or more hours,6-10 hours,1-2 hours,3-5 hours,1-2 hours,11 or more hours,6-10 hours,3-5 hours,4,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Always,Often,Often,Always,Very wrong,Agree,
6th,11,Female,"In the country, but not on a farm",None,with a parent/s,0 hours,1-2 hours,0 hours,3-5 hours,3-5 hours,1-2 hours,0 hours,1-2 hours,4,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,Less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Above average,Agree,Strongly agree,Disagree,Strongly agree,Agree,Agree,Always,Often,Sometimes,Often,Very wrong,Strongly agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",Three times,with a parent/s,0 hours,1-2 hours,1-2 hours,3-5 hours,3-5 hours,1-2 hours,1-2 hours,3-5 hours,6,4 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Strongly agree,Wouldnt change my popularity,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Agree,.,Agree,Disagree,Disagree,Strongly agree,Agree,Agree,Often,Sometimes,Often,Never,Very wrong,Agree,
6th,11,Female,On a farm,None,with a parent/s,-1,-1,-1,-1,3-5 hours,-1,1-2 hours,11 or more hours,7,2 times per day,-1,0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly agree,A lot less popular,Less popular,A lot less popular,Less popular,Disagree,Agree,Strongly disagree,Excellent,Agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Sometimes,Always,-1,Never,Very wrong,Agree,
6th,11,Female,"In the country, but not on a farm",Once,with a parent/s,0 hours,1-2 hours,1-2 hours,1-2 hours,6-10 hours,1-2 hours,0 hours,1-2 hours,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,.,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Disagree,Strongly agree,Agree,Average,Disagree,Agree,Strongly disagree,Agree,Agree,Agree,Often,Often,Often,Sometimes,Very wrong,Agree,
6th,11,Female,"In a large city over 30,000 population",Once,with a parent/s,0 hours,0 hours,11 or more hours,0 hours,-1,11 or more hours,3-5 hours,-1,7,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Agree,Above average,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Always,Always,Always,Always,Very wrong,Strongly disagree,
6th,11,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,6-10 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,3-5 hours,3-5 hours,3,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Less popular,Less popular,Less popular,Less popular,Agree,Strongly agree,Strongly agree,Excellent,Strongly agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Always,Always,Always,Often,Very wrong,Agree,
6th,11,Female,-1,None,with a parent/s,0 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,5,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Strongly agree,Above average,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Always,Always,Often,Often,Very wrong,Strongly agree,
6th,11,Female,On a farm,Three times,with a parent/s,0 hours,0 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,1-2 hours,1-2 hours,4,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Strongly agree,A lot less popular,Less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Agree,Above average,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Always,Often,Often,Sometimes,Very wrong,Agree,
6th,11,Female,On a farm,Once,with a parent/s,11 or more hours,11 or more hours,11 or more hours,11 or more hours,11 or more hours,1-2 hours,11 or more hours,11 or more hours,4,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Strongly agree,Strongly agree,Strongly agree,Average,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Always,Always,Sometimes,Always,Very wrong,Strongly agree,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",Three times,with a parent/s,0 hours,1-2 hours,0 hours,0 hours,0 hours,1-2 hours,0 hours,0 hours,2,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Agree,Agree,Agree,Above average,Strongly agree,Agree,Disagree,Strongly agree,Agree,Agree,Always,Always,Always,Always,Very wrong,Agree,
6th,11,Female,"In a large city over 30,000 population",Four times or more,with grandparents or other relatives,0 hours,3-5 hours,0 hours,0 hours,0 hours,0 hours,0 hours,1-2 hours,-1,5 or more times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Strongly agree,Less popular,Less popular,Wouldnt change my popularity,Wouldnt change my popularity,.,Strongly agree,Disagree,.,Strongly agree,.,Strongly disagree,Strongly agree,Agree,Agree,Always,Always,Sometimes,Often,Very wrong,Disagree,
6th,11,Female,"In the country, but not on a farm",Once,with a parent/s,0 hours,0 hours,1-2 hours,3-5 hours,0 hours,6-10 hours,1-2 hours,3-5 hours,6,5 or more times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Agree,Strongly agree,Excellent,Agree,Agree,Disagree,Agree,Agree,Agree,Always,Always,Always,Always,Very wrong,Agree,
6th,11,Female,"In a small city or town, less than 5,000 population",None,with a parent/s,0 hours,3-5 hours,1-2 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,3-5 hours,-1,2 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Strongly agree,Strongly agree,Agree,Average,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Always,Often,Often,Often,Very wrong,Strongly agree,
6th,11,Female,"In the country, but not on a farm",None,with a parent/s,0 hours,1-2 hours,0 hours,3-5 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,2,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Agree,Less popular,Less popular,A lot less popular,A lot less popular,Agree,Strongly agree,Strongly agree,Excellent,Agree,Agree,Strongly disagree,Strongly agree,Agree,Agree,Always,Often,Sometimes,Always,Very wrong,Agree,
6th,11,Female,"In a large city over 30,000 population",Once,with a parent/s,0 hours,1-2 hours,0 hours,0 hours,1-2 hours,3-5 hours,-1,1-2 hours,1,Less than 1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,A lot less popular,A lot less popular,A lot less popular,A lot less popular,Disagree,Strongly agree,Strongly agree,Above average,Strongly agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Always,Always,Always,Always,Very wrong,.,
6th,11,Female,"In a medium sized city, 5,000-30,000 population",None,with a parent/s,0 hours,3-5 hours,1-2 hours,1-2 hours,0 hours,1-2 hours,1-2 hours,3-5 hours,4,3 times per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Agree,Agree,Average,Agree,Agree,Agree,Agree,Agree,Agree,Often,Sometimes,Often,Sometimes,Very wrong,Agree,
6th,11,Female,"In a small city or town, less than 5,000 population",Once,with a parent/s,0 hours,1-2 hours,0 hours,0 hours,0 hours,-1,1-2 hours,1-2 hours,0,1 time per day,"I have never tried cigarette smoking, not even a few puffs",0 days,I don't drive,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,0 days,Have never used,Have never used,Have never used,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Wouldnt change my popularity,Agree,Agree,Agree,Above average,Agree,Agree,Disagree,Agree,Agree,Agree,Never,Never,Never,Never,Wrong,Agree,
